id,activity_hour,total_intensity,average_intensity
1503960366,4/15/2016,47,0.78
1503960366,4/15/2016,22,0.37
1503960366,4/15/2016,32,0.53
1503960366,4/15/2016,14,0.23
1503960366,4/15/2016,66,1.1
1503960366,4/15/2016,95,1.58
1503960366,4/16/2016,15,0.25
1503960366,4/16/2016,0,0
1503960366,4/16/2016,3,0.05
1503960366,4/16/2016,1,0.02
1503960366,4/16/2016,4,0.07
1503960366,4/16/2016,9,0.15
1503960366,4/16/2016,38,0.63
1503960366,4/16/2016,14,0.23
1503960366,4/16/2016,30,0.5
1503960366,4/16/2016,42,0.7
1503960366,4/16/2016,90,1.5
1503960366,4/16/2016,20,0.33
1503960366,4/16/2016,2,0.03
1503960366,4/16/2016,17,0.28
1503960366,4/16/2016,10,0.17
1503960366,4/16/2016,12,0.2
1503960366,4/16/2016,19,0.32
1503960366,4/16/2016,13,0.22
1503960366,4/16/2016,5,0.08
1503960366,4/17/2016,0,0
1503960366,4/17/2016,1,0.02
1503960366,4/17/2016,9,0.15
1503960366,4/17/2016,18,0.3
1503960366,4/17/2016,23,0.38
1503960366,4/17/2016,10,0.17
1503960366,4/17/2016,13,0.22
1503960366,4/17/2016,2,0.03
1503960366,4/17/2016,71,1.18
1503960366,4/17/2016,39,0.65
1503960366,4/17/2016,24,0.4
1503960366,4/17/2016,87,1.45
1503960366,4/17/2016,16,0.27
1503960366,4/17/2016,5,0.08
1503960366,4/18/2016,21,0.35
1503960366,4/18/2016,0,0
1503960366,4/18/2016,39,0.65
1503960366,4/18/2016,17,0.28
1503960366,4/18/2016,15,0.25
1503960366,4/18/2016,40,0.67
1503960366,4/18/2016,9,0.15
1503960366,4/18/2016,7,0.12
1503960366,4/18/2016,14,0.23
1503960366,4/18/2016,18,0.3
1503960366,4/18/2016,114,1.9
1503960366,4/18/2016,30,0.5
1503960366,4/18/2016,2,0.03
1503960366,4/18/2016,11,0.18
1503960366,4/18/2016,19,0.32
1503960366,4/19/2016,0,0
1503960366,4/19/2016,1,0.02
1503960366,4/19/2016,2,0.03
1503960366,4/19/2016,19,0.32
1503960366,4/19/2016,38,0.63
1503960366,4/19/2016,16,0.27
1503960366,4/19/2016,13,0.22
1503960366,4/19/2016,61,1.02
1503960366,4/19/2016,65,1.08
1503960366,4/19/2016,12,0.2
1503960366,4/19/2016,9,0.15
1503960366,4/19/2016,30,0.5
1503960366,4/19/2016,31,0.52
1503960366,4/19/2016,69,1.15
1503960366,4/19/2016,4,0.07
1503960366,4/19/2016,48,0.8
1503960366,4/20/2016,2,0.03
1503960366,4/20/2016,0,0
1503960366,4/20/2016,3,0.05
1503960366,4/20/2016,14,0.23
1503960366,4/20/2016,50,0.83
1503960366,4/20/2016,13,0.22
1503960366,4/20/2016,1,0.02
1503960366,4/20/2016,8,0.13
1503960366,4/20/2016,5,0.08
1503960366,4/20/2016,39,0.65
1503960366,4/20/2016,21,0.35
1503960366,4/20/2016,11,0.18
1503960366,4/20/2016,32,0.53
1503960366,4/20/2016,36,0.6
1503960366,4/20/2016,12,0.2
1503960366,4/20/2016,22,0.37
1503960366,4/20/2016,7,0.12
1503960366,4/20/2016,33,0.55
1503960366,4/21/2016,2,0.03
1503960366,4/21/2016,8,0.13
1503960366,4/21/2016,5,0.08
1503960366,4/21/2016,0,0
1503960366,4/21/2016,3,0.05
1503960366,4/21/2016,15,0.25
1503960366,4/21/2016,26,0.43
1503960366,4/21/2016,16,0.27
1503960366,4/21/2016,11,0.18
1503960366,4/21/2016,25,0.42
1503960366,4/21/2016,4,0.07
1503960366,4/21/2016,9,0.15
1503960366,4/21/2016,92,1.53
1503960366,4/21/2016,21,0.35
1503960366,4/22/2016,0,0
1503960366,4/22/2016,13,0.22
1503960366,4/22/2016,2,0.03
1503960366,4/22/2016,34,0.57
1503960366,4/22/2016,4,0.07
1503960366,4/22/2016,10,0.17
1503960366,4/22/2016,18,0.3
1503960366,4/22/2016,23,0.38
1503960366,4/22/2016,16,0.27
1503960366,4/22/2016,159,2.65
1503960366,4/22/2016,30,0.5
1503960366,4/22/2016,54,0.9
1503960366,4/23/2016,9,0.15
1503960366,4/23/2016,0,0
1503960366,4/23/2016,1,0.02
1503960366,4/23/2016,2,0.03
1503960366,4/23/2016,8,0.13
1503960366,4/23/2016,17,0.28
1503960366,4/23/2016,4,0.07
1503960366,4/23/2016,11,0.18
1503960366,4/23/2016,49,0.82
1503960366,4/23/2016,51,0.85
1503960366,4/23/2016,20,0.33
1503960366,4/23/2016,15,0.25
1503960366,4/23/2016,52,0.87
1503960366,4/23/2016,26,0.43
1503960366,4/23/2016,66,1.1
1503960366,4/23/2016,54,0.9
1503960366,4/23/2016,25,0.42
1503960366,4/23/2016,6,0.1
1503960366,4/24/2016,10,0.17
1503960366,4/24/2016,2,0.03
1503960366,4/24/2016,0,0
1503960366,4/24/2016,1,0.02
1503960366,4/24/2016,8,0.13
1503960366,4/24/2016,26,0.43
1503960366,4/24/2016,12,0.2
1503960366,4/24/2016,29,0.48
1503960366,4/24/2016,25,0.42
1503960366,4/24/2016,40,0.67
1503960366,4/24/2016,131,2.18
1503960366,4/24/2016,18,0.3
1503960366,4/24/2016,17,0.28
1503960366,4/24/2016,7,0.12
1503960366,4/25/2016,8,0.13
1503960366,4/25/2016,3,0.05
1503960366,4/25/2016,6,0.1
1503960366,4/25/2016,0,0
1503960366,4/25/2016,2,0.03
1503960366,4/25/2016,1,0.02
1503960366,4/25/2016,22,0.37
1503960366,4/25/2016,46,0.77
1503960366,4/25/2016,12,0.2
1503960366,4/25/2016,24,0.4
1503960366,4/25/2016,19,0.32
1503960366,4/25/2016,13,0.22
1503960366,4/25/2016,5,0.08
1503960366,4/25/2016,10,0.17
1503960366,4/25/2016,86,1.43
1503960366,4/25/2016,30,0.5
1503960366,4/25/2016,132,2.2
1503960366,4/25/2016,11,0.18
1503960366,4/26/2016,4,0.07
1503960366,4/26/2016,11,0.18
1503960366,4/26/2016,0,0
1503960366,4/26/2016,1,0.02
1503960366,4/26/2016,3,0.05
1503960366,4/26/2016,13,0.22
1503960366,4/26/2016,31,0.52
1503960366,4/26/2016,22,0.37
1503960366,4/26/2016,17,0.28
1503960366,4/26/2016,10,0.17
1503960366,4/26/2016,42,0.7
1503960366,4/26/2016,60,1
1503960366,4/26/2016,9,0.15
1503960366,4/26/2016,5,0.08
1503960366,4/26/2016,72,1.2
1503960366,4/26/2016,15,0.25
1503960366,4/26/2016,26,0.43
1503960366,4/26/2016,14,0.23
1503960366,4/26/2016,21,0.35
1503960366,4/27/2016,10,0.17
1503960366,4/27/2016,5,0.08
1503960366,4/27/2016,2,0.03
1503960366,4/27/2016,0,0
1503960366,4/27/2016,33,0.55
1503960366,4/27/2016,27,0.45
1503960366,4/27/2016,23,0.38
1503960366,4/27/2016,12,0.2
1503960366,4/27/2016,13,0.22
1503960366,4/27/2016,35,0.58
1503960366,4/27/2016,6,0.1
1503960366,4/27/2016,7,0.12
1503960366,4/27/2016,73,1.22
1503960366,4/27/2016,150,2.5
1503960366,4/27/2016,70,1.17
1503960366,4/27/2016,20,0.33
1503960366,4/28/2016,0,0
1503960366,4/28/2016,10,0.17
1503960366,4/28/2016,1,0.02
1503960366,4/28/2016,11,0.18
1503960366,4/28/2016,38,0.63
1503960366,4/28/2016,19,0.32
1503960366,4/28/2016,16,0.27
1503960366,4/28/2016,33,0.55
1503960366,4/28/2016,47,0.78
1503960366,4/28/2016,5,0.08
1503960366,4/28/2016,56,0.93
1503960366,4/28/2016,50,0.83
1503960366,4/28/2016,21,0.35
1503960366,4/28/2016,2,0.03
1503960366,4/28/2016,48,0.8
1503960366,4/29/2016,9,0.15
1503960366,4/29/2016,0,0
1503960366,4/29/2016,4,0.07
1503960366,4/29/2016,3,0.05
1503960366,4/29/2016,13,0.22
1503960366,4/29/2016,33,0.55
1503960366,4/29/2016,6,0.1
1503960366,4/29/2016,56,0.93
1503960366,4/29/2016,23,0.38
1503960366,4/29/2016,10,0.17
1503960366,4/29/2016,5,0.08
1503960366,4/29/2016,11,0.18
1503960366,4/29/2016,16,0.27
1503960366,4/29/2016,20,0.33
1503960366,4/29/2016,27,0.45
1503960366,4/30/2016,1,0.02
1503960366,4/30/2016,7,0.12
1503960366,4/30/2016,0,0
1503960366,4/30/2016,3,0.05
1503960366,4/30/2016,11,0.18
1503960366,4/30/2016,17,0.28
1503960366,4/30/2016,4,0.07
1503960366,4/30/2016,22,0.37
1503960366,4/30/2016,26,0.43
1503960366,4/30/2016,99,1.65
1503960366,4/30/2016,55,0.92
1503960366,4/30/2016,71,1.18
1503960366,4/30/2016,5,0.08
1503960366,4/30/2016,47,0.78
1503960366,4/30/2016,28,0.47
1503960366,5/1/2016,9,0.15
1503960366,5/1/2016,8,0.13
1503960366,5/1/2016,2,0.03
1503960366,5/1/2016,1,0.02
1503960366,5/1/2016,0,0
1503960366,5/1/2016,3,0.05
1503960366,5/1/2016,6,0.1
1503960366,5/1/2016,12,0.2
1503960366,5/1/2016,10,0.17
1503960366,5/1/2016,5,0.08
1503960366,5/1/2016,25,0.42
1503960366,5/1/2016,21,0.35
1503960366,5/1/2016,23,0.38
1503960366,5/1/2016,33,0.55
1503960366,5/1/2016,70,1.17
1503960366,5/1/2016,14,0.23
1503960366,5/1/2016,50,0.83
1503960366,5/1/2016,76,1.27
1503960366,5/2/2016,0,0
1503960366,5/2/2016,7,0.12
1503960366,5/2/2016,1,0.02
1503960366,5/2/2016,3,0.05
1503960366,5/2/2016,12,0.2
1503960366,5/2/2016,30,0.5
1503960366,5/2/2016,19,0.32
1503960366,5/2/2016,16,0.27
1503960366,5/2/2016,64,1.07
1503960366,5/2/2016,21,0.35
1503960366,5/2/2016,13,0.22
1503960366,5/2/2016,11,0.18
1503960366,5/2/2016,24,0.4
1503960366,5/2/2016,9,0.15
1503960366,5/2/2016,105,1.75
1503960366,5/2/2016,25,0.42
1503960366,5/2/2016,28,0.47
1503960366,5/2/2016,17,0.28
1503960366,5/3/2016,3,0.05
1503960366,5/3/2016,6,0.1
1503960366,5/3/2016,1,0.02
1503960366,5/3/2016,5,0.08
1503960366,5/3/2016,0,0
1503960366,5/3/2016,2,0.03
1503960366,5/3/2016,11,0.18
1503960366,5/3/2016,24,0.4
1503960366,5/3/2016,25,0.42
1503960366,5/3/2016,12,0.2
1503960366,5/3/2016,17,0.28
1503960366,5/3/2016,23,0.38
1503960366,5/3/2016,26,0.43
1503960366,5/3/2016,46,0.77
1503960366,5/3/2016,33,0.55
1503960366,5/3/2016,18,0.3
1503960366,5/3/2016,86,1.43
1503960366,5/3/2016,37,0.62
1503960366,5/3/2016,58,0.97
1503960366,5/3/2016,10,0.17
1503960366,5/4/2016,17,0.28
1503960366,5/4/2016,2,0.03
1503960366,5/4/2016,0,0
1503960366,5/4/2016,4,0.07
1503960366,5/4/2016,22,0.37
1503960366,5/4/2016,26,0.43
1503960366,5/4/2016,7,0.12
1503960366,5/4/2016,12,0.2
1503960366,5/4/2016,16,0.27
1503960366,5/4/2016,67,1.12
1503960366,5/4/2016,6,0.1
1503960366,5/4/2016,11,0.18
1503960366,5/4/2016,62,1.03
1503960366,5/4/2016,19,0.32
1503960366,5/4/2016,30,0.5
1503960366,5/4/2016,39,0.65
1503960366,5/4/2016,8,0.13
1503960366,5/5/2016,6,0.1
1503960366,5/5/2016,2,0.03
1503960366,5/5/2016,0,0
1503960366,5/5/2016,4,0.07
1503960366,5/5/2016,1,0.02
1503960366,5/5/2016,3,0.05
1503960366,5/5/2016,10,0.17
1503960366,5/5/2016,26,0.43
1503960366,5/5/2016,15,0.25
1503960366,5/5/2016,13,0.22
1503960366,5/5/2016,21,0.35
1503960366,5/5/2016,12,0.2
1503960366,5/5/2016,14,0.23
1503960366,5/5/2016,70,1.17
1503960366,5/5/2016,30,0.5
1503960366,5/5/2016,20,0.33
1503960366,5/5/2016,19,0.32
1503960366,5/5/2016,113,1.88
1503960366,5/5/2016,17,0.28
1503960366,5/6/2016,12,0.2
1503960366,5/6/2016,1,0.02
1503960366,5/6/2016,7,0.12
1503960366,5/6/2016,0,0
1503960366,5/6/2016,3,0.05
1503960366,5/6/2016,9,0.15
1503960366,5/6/2016,29,0.48
1503960366,5/6/2016,20,0.33
1503960366,5/6/2016,6,0.1
1503960366,5/6/2016,13,0.22
1503960366,5/6/2016,10,0.17
1503960366,5/6/2016,15,0.25
1503960366,5/6/2016,27,0.45
1503960366,5/6/2016,17,0.28
1503960366,5/6/2016,28,0.47
1503960366,5/6/2016,55,0.92
1503960366,5/6/2016,16,0.27
1503960366,5/6/2016,19,0.32
1503960366,5/6/2016,52,0.87
1503960366,5/7/2016,9,0.15
1503960366,5/7/2016,0,0
1503960366,5/7/2016,2,0.03
1503960366,5/7/2016,7,0.12
1503960366,5/7/2016,46,0.77
1503960366,5/7/2016,59,0.98
1503960366,5/7/2016,6,0.1
1503960366,5/7/2016,4,0.07
1503960366,5/7/2016,10,0.17
1503960366,5/7/2016,13,0.22
1503960366,5/7/2016,21,0.35
1503960366,5/7/2016,3,0.05
1503960366,5/7/2016,61,1.02
1503960366,5/7/2016,108,1.8
1503960366,5/8/2016,8,0.13
1503960366,5/8/2016,0,0
1503960366,5/8/2016,1,0.02
1503960366,5/8/2016,22,0.37
1503960366,5/8/2016,30,0.5
1503960366,5/8/2016,10,0.17
1503960366,5/8/2016,5,0.08
1503960366,5/8/2016,14,0.23
1503960366,5/8/2016,115,1.92
1503960366,5/8/2016,36,0.6
1503960366,5/8/2016,28,0.47
1503960366,5/8/2016,33,0.55
1503960366,5/8/2016,29,0.48
1503960366,5/8/2016,11,0.18
1503960366,5/9/2016,9,0.15
1503960366,5/9/2016,0,0
1503960366,5/9/2016,1,0.02
1503960366,5/9/2016,22,0.37
1503960366,5/9/2016,6,0.1
1503960366,5/9/2016,3,0.05
1503960366,5/9/2016,10,0.17
1503960366,5/9/2016,12,0.2
1503960366,5/9/2016,75,1.25
1503960366,5/9/2016,37,0.62
1503960366,5/9/2016,25,0.42
1503960366,5/9/2016,39,0.65
1503960366,5/9/2016,43,0.72
1503960366,5/9/2016,73,1.22
1503960366,5/10/2016,0,0
1503960366,5/10/2016,6,0.1
1503960366,5/10/2016,4,0.07
1503960366,5/10/2016,11,0.18
1503960366,5/10/2016,24,0.4
1503960366,5/10/2016,16,0.27
1503960366,5/10/2016,35,0.58
1503960366,5/10/2016,14,0.23
1503960366,5/10/2016,8,0.13
1503960366,5/10/2016,36,0.6
1503960366,5/10/2016,22,0.37
1503960366,5/10/2016,17,0.28
1503960366,5/10/2016,69,1.15
1503960366,5/10/2016,51,0.85
1503960366,5/10/2016,73,1.22
1503960366,5/10/2016,19,0.32
1503960366,5/10/2016,3,0.05
1503960366,5/11/2016,14,0.23
1503960366,5/11/2016,4,0.07
1503960366,5/11/2016,1,0.02
1503960366,5/11/2016,0,0
1503960366,5/11/2016,5,0.08
1503960366,5/11/2016,21,0.35
1503960366,5/11/2016,32,0.53
1503960366,5/11/2016,19,0.32
1503960366,5/11/2016,15,0.25
1503960366,5/11/2016,6,0.1
1503960366,5/11/2016,23,0.38
1503960366,5/11/2016,52,0.87
1503960366,5/11/2016,9,0.15
1503960366,5/11/2016,7,0.12
1503960366,5/11/2016,102,1.7
1503960366,5/11/2016,30,0.5
1503960366,5/11/2016,42,0.7
1624580081,4/12/2016,4,0.07
1624580081,4/12/2016,1,0.02
1624580081,4/12/2016,0,0
1624580081,4/12/2016,18,0.3
1624580081,4/12/2016,60,1
1624580081,4/12/2016,5,0.08
1624580081,4/12/2016,2,0.03
1624580081,4/12/2016,3,0.05
1624580081,4/12/2016,6,0.1
1624580081,4/12/2016,7,0.12
1624580081,4/12/2016,12,0.2
1624580081,4/13/2016,6,0.1
1624580081,4/13/2016,1,0.02
1624580081,4/13/2016,0,0
1624580081,4/13/2016,29,0.48
1624580081,4/13/2016,45,0.75
1624580081,4/13/2016,12,0.2
1624580081,4/13/2016,4,0.07
1624580081,4/13/2016,5,0.08
1624580081,4/13/2016,17,0.28
1624580081,4/13/2016,3,0.05
1624580081,4/13/2016,11,0.18
1624580081,4/13/2016,2,0.03
1624580081,4/14/2016,1,0.02
1624580081,4/14/2016,0,0
1624580081,4/14/2016,31,0.52
1624580081,4/14/2016,45,0.75
1624580081,4/14/2016,7,0.12
1624580081,4/14/2016,18,0.3
1624580081,4/14/2016,2,0.03
1624580081,4/14/2016,3,0.05
1624580081,4/14/2016,14,0.23
1624580081,4/14/2016,34,0.57
1624580081,4/14/2016,19,0.32
1624580081,4/14/2016,24,0.4
1624580081,4/14/2016,6,0.1
1624580081,4/14/2016,15,0.25
1624580081,4/14/2016,12,0.2
1624580081,4/15/2016,12,0.2
1624580081,4/15/2016,2,0.03
1624580081,4/15/2016,0,0
1624580081,4/15/2016,1,0.02
1624580081,4/15/2016,25,0.42
1624580081,4/15/2016,3,0.05
1624580081,4/15/2016,15,0.25
1624580081,4/15/2016,8,0.13
1624580081,4/16/2016,18,0.3
1624580081,4/16/2016,0,0
1624580081,4/16/2016,5,0.08
1624580081,4/16/2016,11,0.18
1624580081,4/16/2016,6,0.1
1624580081,4/16/2016,10,0.17
1624580081,4/16/2016,4,0.07
1624580081,4/16/2016,2,0.03
1624580081,4/16/2016,27,0.45
1624580081,4/16/2016,31,0.52
1624580081,4/16/2016,44,0.73
1624580081,4/17/2016,5,0.08
1624580081,4/17/2016,1,0.02
1624580081,4/17/2016,2,0.03
1624580081,4/17/2016,0,0
1624580081,4/17/2016,4,0.07
1624580081,4/17/2016,19,0.32
1624580081,4/17/2016,44,0.73
1624580081,4/17/2016,18,0.3
1624580081,4/17/2016,50,0.83
1624580081,4/17/2016,10,0.17
1624580081,4/17/2016,7,0.12
1624580081,4/17/2016,6,0.1
1624580081,4/18/2016,3,0.05
1624580081,4/18/2016,4,0.07
1624580081,4/18/2016,1,0.02
1624580081,4/18/2016,0,0
1624580081,4/18/2016,9,0.15
1624580081,4/18/2016,49,0.82
1624580081,4/18/2016,5,0.08
1624580081,4/18/2016,18,0.3
1624580081,4/18/2016,13,0.22
1624580081,4/18/2016,28,0.47
1624580081,4/18/2016,70,1.17
1624580081,4/18/2016,7,0.12
1624580081,4/18/2016,11,0.18
1624580081,4/18/2016,10,0.17
1624580081,4/18/2016,12,0.2
1624580081,4/18/2016,8,0.13
1624580081,4/19/2016,2,0.03
1624580081,4/19/2016,0,0
1624580081,4/19/2016,7,0.12
1624580081,4/19/2016,16,0.27
1624580081,4/19/2016,3,0.05
1624580081,4/19/2016,12,0.2
1624580081,4/19/2016,1,0.02
1624580081,4/19/2016,10,0.17
1624580081,4/19/2016,30,0.5
1624580081,4/19/2016,9,0.15
1624580081,4/19/2016,15,0.25
1624580081,4/19/2016,14,0.23
1624580081,4/19/2016,4,0.07
1624580081,4/20/2016,7,0.12
1624580081,4/20/2016,0,0
1624580081,4/20/2016,1,0.02
1624580081,4/20/2016,44,0.73
1624580081,4/20/2016,6,0.1
1624580081,4/20/2016,14,0.23
1624580081,4/20/2016,3,0.05
1624580081,4/20/2016,12,0.2
1624580081,4/20/2016,9,0.15
1624580081,4/20/2016,17,0.28
1624580081,4/20/2016,10,0.17
1624580081,4/20/2016,5,0.08
1624580081,4/21/2016,1,0.02
1624580081,4/21/2016,0,0
1624580081,4/21/2016,2,0.03
1624580081,4/21/2016,6,0.1
1624580081,4/21/2016,8,0.13
1624580081,4/21/2016,15,0.25
1624580081,4/21/2016,11,0.18
1624580081,4/21/2016,3,0.05
1624580081,4/21/2016,35,0.58
1624580081,4/21/2016,56,0.93
1624580081,4/21/2016,7,0.12
1624580081,4/21/2016,12,0.2
1624580081,4/22/2016,1,0.02
1624580081,4/22/2016,0,0
1624580081,4/22/2016,2,0.03
1624580081,4/22/2016,16,0.27
1624580081,4/22/2016,10,0.17
1624580081,4/22/2016,12,0.2
1624580081,4/22/2016,4,0.07
1624580081,4/22/2016,6,0.1
1624580081,4/22/2016,3,0.05
1624580081,4/22/2016,5,0.08
1624580081,4/22/2016,32,0.53
1624580081,4/22/2016,31,0.52
1624580081,4/22/2016,20,0.33
1624580081,4/22/2016,28,0.47
1624580081,4/22/2016,19,0.32
1624580081,4/23/2016,9,0.15
1624580081,4/23/2016,4,0.07
1624580081,4/23/2016,0,0
1624580081,4/23/2016,1,0.02
1624580081,4/23/2016,17,0.28
1624580081,4/23/2016,8,0.13
1624580081,4/23/2016,2,0.03
1624580081,4/23/2016,7,0.12
1624580081,4/23/2016,29,0.48
1624580081,4/23/2016,51,0.85
1624580081,4/23/2016,41,0.68
1624580081,4/23/2016,23,0.38
1624580081,4/24/2016,9,0.15
1624580081,4/24/2016,7,0.12
1624580081,4/24/2016,0,0
1624580081,4/24/2016,1,0.02
1624580081,4/24/2016,2,0.03
1624580081,4/24/2016,3,0.05
1624580081,4/24/2016,27,0.45
1624580081,4/24/2016,15,0.25
1624580081,4/24/2016,38,0.63
1624580081,4/24/2016,12,0.2
1624580081,4/24/2016,8,0.13
1624580081,4/24/2016,56,0.93
1624580081,4/24/2016,23,0.38
1624580081,4/24/2016,14,0.23
1624580081,4/24/2016,4,0.07
1624580081,4/25/2016,0,0
1624580081,4/25/2016,3,0.05
1624580081,4/25/2016,10,0.17
1624580081,4/25/2016,9,0.15
1624580081,4/25/2016,36,0.6
1624580081,4/25/2016,32,0.53
1624580081,4/25/2016,17,0.28
1624580081,4/25/2016,7,0.12
1624580081,4/25/2016,25,0.42
1624580081,4/25/2016,15,0.25
1624580081,4/25/2016,13,0.22
1624580081,4/25/2016,1,0.02
1624580081,4/25/2016,2,0.03
1624580081,4/25/2016,8,0.13
1624580081,4/26/2016,4,0.07
1624580081,4/26/2016,1,0.02
1624580081,4/26/2016,0,0
1624580081,4/26/2016,19,0.32
1624580081,4/26/2016,15,0.25
1624580081,4/26/2016,8,0.13
1624580081,4/26/2016,9,0.15
1624580081,4/26/2016,18,0.3
1624580081,4/26/2016,13,0.22
1624580081,4/26/2016,11,0.18
1624580081,4/26/2016,14,0.23
1624580081,4/26/2016,6,0.1
1624580081,4/26/2016,3,0.05
1624580081,4/27/2016,2,0.03
1624580081,4/27/2016,0,0
1624580081,4/27/2016,1,0.02
1624580081,4/27/2016,6,0.1
1624580081,4/27/2016,25,0.42
1624580081,4/27/2016,13,0.22
1624580081,4/27/2016,32,0.53
1624580081,4/27/2016,112,1.87
1624580081,4/27/2016,5,0.08
1624580081,4/27/2016,10,0.17
1624580081,4/27/2016,7,0.12
1624580081,4/27/2016,12,0.2
1624580081,4/27/2016,4,0.07
1624580081,4/27/2016,16,0.27
1624580081,4/27/2016,11,0.18
1624580081,4/28/2016,4,0.07
1624580081,4/28/2016,0,0
1624580081,4/28/2016,9,0.15
1624580081,4/28/2016,12,0.2
1624580081,4/28/2016,8,0.13
1624580081,4/28/2016,25,0.42
1624580081,4/28/2016,23,0.38
1624580081,4/28/2016,14,0.23
1624580081,4/28/2016,6,0.1
1624580081,4/28/2016,10,0.17
1624580081,4/28/2016,1,0.02
1624580081,4/29/2016,4,0.07
1624580081,4/29/2016,1,0.02
1624580081,4/29/2016,0,0
1624580081,4/29/2016,5,0.08
1624580081,4/29/2016,17,0.28
1624580081,4/29/2016,7,0.12
1624580081,4/29/2016,2,0.03
1624580081,4/29/2016,24,0.4
1624580081,4/29/2016,18,0.3
1624580081,4/29/2016,10,0.17
1624580081,4/29/2016,6,0.1
1624580081,4/30/2016,14,0.23
1624580081,4/30/2016,0,0
1624580081,4/30/2016,1,0.02
1624580081,4/30/2016,2,0.03
1624580081,4/30/2016,8,0.13
1624580081,4/30/2016,22,0.37
1624580081,4/30/2016,10,0.17
1624580081,4/30/2016,87,1.45
1624580081,4/30/2016,19,0.32
1624580081,4/30/2016,3,0.05
1624580081,4/30/2016,37,0.62
1624580081,4/30/2016,5,0.08
1624580081,4/30/2016,13,0.22
1624580081,5/1/2016,1,0.02
1624580081,5/1/2016,0,0
1624580081,5/1/2016,2,0.03
1624580081,5/1/2016,27,0.45
1624580081,5/1/2016,49,0.82
1624580081,5/1/2016,77,1.28
1624580081,5/1/2016,147,2.45
1624580081,5/1/2016,167,2.78
1624580081,5/1/2016,169,2.82
1624580081,5/1/2016,100,1.67
1624580081,5/1/2016,12,0.2
1624580081,5/1/2016,15,0.25
1624580081,5/1/2016,3,0.05
1624580081,5/1/2016,14,0.23
1624580081,5/1/2016,33,0.55
1624580081,5/2/2016,3,0.05
1624580081,5/2/2016,0,0
1624580081,5/2/2016,5,0.08
1624580081,5/2/2016,1,0.02
1624580081,5/2/2016,19,0.32
1624580081,5/2/2016,48,0.8
1624580081,5/2/2016,8,0.13
1624580081,5/2/2016,7,0.12
1624580081,5/2/2016,2,0.03
1624580081,5/2/2016,4,0.07
1624580081,5/2/2016,18,0.3
1624580081,5/2/2016,58,0.97
1624580081,5/3/2016,1,0.02
1624580081,5/3/2016,0,0
1624580081,5/3/2016,4,0.07
1624580081,5/3/2016,16,0.27
1624580081,5/3/2016,13,0.22
1624580081,5/3/2016,6,0.1
1624580081,5/3/2016,2,0.03
1624580081,5/3/2016,23,0.38
1624580081,5/3/2016,8,0.13
1624580081,5/3/2016,3,0.05
1624580081,5/3/2016,7,0.12
1624580081,5/4/2016,1,0.02
1624580081,5/4/2016,2,0.03
1624580081,5/4/2016,4,0.07
1624580081,5/4/2016,0,0
1624580081,5/4/2016,3,0.05
1624580081,5/4/2016,10,0.17
1624580081,5/4/2016,27,0.45
1624580081,5/4/2016,13,0.22
1624580081,5/4/2016,11,0.18
1624580081,5/4/2016,6,0.1
1624580081,5/4/2016,9,0.15
1624580081,5/4/2016,16,0.27
